text_akhir,polarity_score,polarity
udah bagus banyakin costume kekurangan bug bug vote dab chat server stabil udah bikin kesel bug bug crew warna mah bagus cuman butuh dikembangkan tambahkan map sekian,-10,negative
game bagus butuh perkembagan perbaikan bug game mengalami contohnya meeting terkadang masuk lobby layar gelap terkadang keliar sinyal aaya top terkadang badan mati hilang meeting orang teleport perbedaan mengemukakan kekurangan game diatas game bagus,-4,negative
game udh seru yg cheater imp crewmate tolong option biar report cheater developernya bug contohnya gabisa bergerak ngereport mayatnya ipad gk pas ditengahdll tolong benerin suka disconnected benci kalo impostor menang eh disconnect cek aja sinyal tolong perbaiki game,5,positive
bagus terkadang bug lari kadang lambat cepat cheater tau imposter bug masuk game layar layar macet mohon diperbaiki,-2,negative
sang developer menyarankan fitur gamenya tombol startnya berbunyi peringatan berkali kali pemainnya maksimalbunyi peringatannya dikhususkan hostnya player memegang hostnya menekan tombol starnya melamun menyadarinya mengakibatkan menunggu permainannya yg menit meninggalkan area permainan,-14,negative
gamenya bagus gameplay simple menyenangkan jaringan kayanya gk parah ms sekian detik langsung msgila gk tuh jaringan bagus pake wifi bug banget contoh kaya bug loading pas kalah menang langsung freez gitu relog game,-2,negative
gamenya bagus bangetbuat gameplay mantapoverall bagus lahtapi kekurangannya koneksinya buruk bangetsering jaringan baguskekurangan mapnya minim bosan main map aja variasi misinyadan mode freeplay ai gerak nyelesain misi biar immersiveitu sampaikanterima kasih,-13,negative
new bug tampilan font text tampilan nama frame handphone airship bug sabotage light memperbaiki light menekan tombol light bersamaan versi posisi light berbeda light diperbaiki terhubung bug drop fps permainan,-8,negative
sdh bagus yg diperbaiki banned cheater adakan fitur pencarian nama room biar pas game nge bug cari nama room yg udah aja keluhannya perbaiki disconnect game maaf bintang seru yg diperbaiki disconnect terimakasih,5,positive
bagus grafiknya kasih bintang kekurangannya berbicara crewmate ngetik sesuai kemauan kembalikan berbicara diketik tambahkan friends berteman orang bagus among us semangat merubahnya,-3,negative
seru temanteman tp tolong diupdate fitur ui add friend chat friend dll imposternya sukses memenangkan game award tersendiri point level achievement halnya crewmate sukses menemukan pembunuh tambahkan fitur vote avaible player ty,15,positive
update among us kerap kali error vision layar yg visionnya error yg pemain terbang kesana kemari kali bug tolong diperbaiki,-12,negative
game bagustapi bagus opsi pertemanan berteman publik serudan berharap opsi akun rankeddi ranked menang impostor crewmate poin rankeddi mode ranked password lobbynya mengajak temannya berlaku curangseperti salah mati memberitahukan impostornya temannya hidup,-8,negative
darinya kasi bintang tarik bintang bugnya bener bener menganggu tampilan skin karakter keliatan masuk game susah layarnya hitam mulu tombol game tombol use tombol kadang kadang pingnya engga stabil kadang kadang ms kebawah kadang kadang nyampe ms keatas intinya mohon diperbaiki bug bug,21,positive
gamenya bagus cuman pas udah update main bugnya disconnect ikon vote ngevote bug bel emergency tolong developer perbaiki tambahan map,8,positive
gamenya seru gk mudah ngabisin kuota gamenya nge lag pas main public ngerjain tasks tiba² gk digerakin al hasil aja pas nge lag layar item dah biarin menit aja kalo diemin detik mohon diperbaikin kalo udah kasih bintang semangat devlopernya,4,positive
kecewa update layar hitam nggak ngetik karakter nggak keliatan mati liat bagus update kecewa mending dibikin layar keliatan nulis pliss deh senang banget deh kalo diturutin ok dah segitu aja dariku bye,-11,negative
game seru iron man makanlah odading mang banget edittolong developer game among us perbaiki jaringansoalnya kalo game lancar ² aja cuman game among us pás masuk aja pas find game jaringan banget server terimakasih,19,positive
game butuh update saran developer perbaiki server asia berkomunikasi bahasa yg bermain seringkali tolong diperbaiki baiknya tambahkan pilihan komunikasi mikrofon seru gamenya monoton tolong tambahkan tantangan saran game akui mengasyikkan monoton cepat bosan,-1,negative
cheater tolong tingkat keamanan mode ranked map mode warna karekter kaitkan akun proges kalo menang coin membeli tambahin shop beli membeli uang asli pet skinnya gameplay game udah bagus sayangnya mode imposter imba adil aja,0,neutral
gwe kasih bintang karna kualitas game buru suka banget bugerrorgame seru cuman kendala utamanya suka bugerror tolong diperbaikilagi bugerror hilang mengganggu bermainapalagi pas impostor sekian terimakasih,18,positive
gamenya baguuuss bikin asiiik bikin temen bikin mood bertambah yg asik kalo tombol pertemanan biar invit asik kalo mode ranked semangat menaikan tingkat rank tolong kaitkan akun google biar ngesave tingkat rank aksesoriscelanatopipet tolong aktifkan tombol mic disaat berdiskusi asik semoga direspon,12,positive
suka game pemakaiannya data pings mainkan mencoba menunggu menit kedepannya disconnected pemakaian bahasa bagus belaja memahami bahasa inggris tolong diperbaiki pemakaian datanya memperkecil pings oh pemakaian server memakai negara benua saran,-9,negative
game bagus banget ngerjain task tdk selesai krn klik emergency button ngak kelar kelar task kali habis main iklan main among ngak seru iklan tolong singkirkan iklan among mohon bantuannya,4,positive
game bagus matchmakingnya kadang error mencari match tambahkan fitur invite mudah mengajak bermain teman tambahkan sistem coin menang membeli pet hat costume gapapa player memenangkan match crew impostor merasakan bahagia mungkinh hehe,-4,negative
gamenya bagus banget suka ngebug tp gakpapa lahh masukan nihh tolong tambahin bahasa indonesia perbagus support joystick tombol liat map setting game yg tersedia dikonsol aneh banget tambahkan fitur ban menit pemain game kali kesel banget orang yg diawal match sekian terimakasih membaca keluhan,8,positive
game udah bagus segi map grafik bug bug impostor impostor keterangan impostor bug kill efek kill suka delay trus tambahan fitur chat friend list untung mempermudah main teman map task aja si pendapat semoga among us collab spy x family wkwkwk,9,positive
chatnya tolong dibukain orang susah kalo komunikasi seru pas main update gw aja chat konfirmasi tanggal lahirnya kayak diubah tolong dibukain chat bug mengganggu permainan mengalami bug bergerak meeting tolong perbaiki bug sediakan fitur chat kayak thanks,7,positive
diupdate payahbanyak bug contohnya layar gelap sebelah map skeldmirahqdan polusdan mengetik sesuai keinginanitu komentar sayakarena game bagus diupdate,-5,negative
bintang aja game seru tp kadang sinyal disconnect kluar game trs mabar kadang kode ditemuin temenku mohon perbaiki kedepannya krn nyaman yg disconnect pas asyik ngerjain misi kluar gbsa masuk lgi nyebelin,6,positive
gamenya bagus suka main kadang kadang kalo masuk gabisa error mulu mohon diperbaiki kalo gameplaynya udah bagus seru diperbaiki terimakasih,2,positive
game seru serulagi kalo mic langsung aplikasi among us nyaman pubg karna kalo ngetik sensasi tuduh menuduh real aja kekurangan game ribet mic pake diluar aplikasi ribet,-10,negative
seru game suka player ngecheat afk bug bintang bentuk apresiasi game tolong diperbaiki developer player nyaman bermain fix klo diperbaiki main among us trend dimasa semangat developer,18,positive
gamenya sngat bagus seru diperbaiki bugnya game among us bagus bug pas main tiba² crewmate nempel dtembok jd tolong diperbaiki terima kasih,5,positive
game bagus kekurangannya server terbatas disconnect server check connection jaringan bagus sulit masuk room pengguna ulang ulang masuk kuota server terbatas antri masuk game room judul room berdasarkan nickname sediakan icon judul room biar judul room sesuai bahasa negara,-5,negative
seru orang kadang suka teamwork main sebelahan kerja bunuh langsung ketauan pembunuhnya direkomendasikan yg buta warna parsial full orang suka nuduh menyebut warna character kadang nama karakter dipasang make spasi doang,6,positive
gimana si main kadang pas masuk game layarnya hitem banget pas find game error masuk wifi ama sinyalnya baguas banget main deh seneng banget gamenya tolong diperbaiki,10,positive
main among us coba install masuk nyoba main server gamenya force close nggak dimainin install ulang force close kurasa msh diperbaiki update suka ngecrash versi android outdate error game developer dimohon memperbaiki errornya,-9,negative
ditambah fitur aja kayak add friend chat audio hantu otomatis mati chat audionya kaya fitur chat pembenahan server overall bagus banget,7,positive
among us tolong aplikasinya upgrade tambahin fitur voicenya gitu biar mantap fitnahnya biar ribet download apk voice tolong bikin pertemanan biar orang mainnya asik hilang,0,neutral
suka gamenya seru banget main suka room tulisan versi kadaluarsa diperbarui cek playstore pembaruan apk kejadianya lumayan tolong diperbaiki terimakasih,10,positive
game keren udah main gamecuma sy suka yaituadanya bug sistem game contoh vote terkadang bug dimana vote berhenti udah selesai voting stuck vote lanjutkemudian batasi player kembaliterkadang orang gameanalognya kekiritapi gameplay bagus,4,positive
gamenya bagus poin kekurangannya cheater game cheater cheat kill cooldown skip vote lari cepat skin unlock dll bug stuck bug emergency meeting jalan berhenti digerakkan menampilkan layar emergency meeting muncul semoga dibaca,-1,negative
gamenya bagus map airship bugnya kasih bintang kalo bugnya perbaiki kasih bintang oke sekian terima kasih edit diperbaiki yeee kasih bintang deh,6,positive
seru main game asah otak sayangnya cheater bermunculan room menekan tombol emergency meeting berkali kali membunuh berkali kali jeda kick trik cheat tolong sediakan fitur report membasmi pemain mengganggu pemain,-16,negative
saran developer meningkatkan game server disconnected jaringan g nonton youtube lancar tambahin bahasa indonesia parah suka bug discuss aja si bagus kendala mohon cepat tingkatkan,-6,negative
game udah oke overall cuman ping yg kadang suka turun aja suka bikin disconnect masuk room room fiturnya udh lumayan bnyak chat bebas ditambah fitur chat yg mempermudah cuman kalo settingan hud menyesuaikan selera pemain,5,positive
sebenernya game bagus cheat trs kadang ngebug tampilan menghitampas vote langsung skip vote jg banyakpadahal permainannya udah mati yg download silahkan download karna permainan menyenangkan harap diperbaiki permainannya ngebug,12,positive
kelebihan game serubisa dapet temenbisa mabar pelampiasan klo gua gabut kekurangan kadang suka tbtb disconnect pdhl wifi gua lancarkadang suka nge lag jd jalannya putus²skin pet tolong gratisinselain pke mode mod ehebanyak cheater tp klo cheater tergantung dr pemain sihh overall goodgametp tbtb disconnect tolong perbaiki,-6,negative
game bagus problem game nyaaketika menyelesaikan misi kadang disitu nggak pijit sekalisering server pake wifi gangguan sinyalterus problem dimana bikin room kadang nggak intinya updetan semoga josss ajaathank,-4,negative
gue tau app karna hits itukan buming banget suka liat liat orang main penasaran main mutisin main bagus banget tp kesini jelek yg pake cheaters game main udah menangkalah kadang kadang yg cheaters ngebunuh berkali kali kecewa mohon developer diperbaiki asik aja main,5,positive
among us banget bug nyapadahal gamenya seru gw main bareng temen kalo gabutsumpah kadang sendirinamanya ketuker tukernamanya keluartolong perbaiki gw nyaman mainnya bjirawalnya lancar lancar aja gan bug,13,positive
bagus gamenya game play lumayan suka cmn ngebosenin aj pas crewmate yg leave game gegara impostor coba dikasih role tambahan crewmate biar pengin impostor doang jdi fair n seru gitu disayangkan disconnect server error tolong perbaiki sinyal full g kalo bintang sampe bener puas updetannya thx,10,positive
gamenya seru seru cuman kadang error aja gk ngambat gk main among us yg gk download nyesel kalo yg main among us menurutku liat tutorial youtube kalo kayak tulisan disconnected pertandanya wifidata tuh sinyalnya gangguan aja ehhh btw tolong perketat keamanannya kalo main aja ketemu cheater gk seru,-4,negative
game sm kayak skin ad g dibeli uang ngumpulin poin level nih bilang g ngetik pribadi verifikasi email masuk email setuju syarat disana login udh ganti mode pribadi,-1,negative
saran game menyediakan fitur buka suara mic biar main teman jarak pake suara player dikasih skill masingmasing biar seru map tolong update terimakasih,9,positive
tolong dng diupdate fitur microfonnya trus yg udah mati pake chat aj yg mati gk lihat chatnya mati trus fitur game hapus dng kenyamanan pemain imposter main orng yg crewmate smua gk enak dng bug gk vote bug diem aj diperbaiki coba deh liat youtuber bugnya gtu good luck,16,positive
gamenya seru kayak terkesan misteri bug kayak suka diconnect main bareng temen gambar layar hitam discuss kitanya dicuss bug udah suka gamenya harap kedepannya game udah official liris biar bugnya fitur biar add teman makasih,-5,negative
game bagus segi grafiknya lumayan saran developer manambahkan fitur mengundang teman pemain janjian game negara beda negara mengundang pemain daftar teman saran mudahmudahan update selajutnya mode mengundang pemain,-18,negative
game bagus sy suka tolong tingkatkan fitur barunya sm kurangi ngebug sy memainkan game langsung defeat voting diskusi dikasih mlh langsung diproses tolong dkurangi ngelagnya sinyalnya bagus wae,13,positive
game bagus sekalitapi menyarankan menambah pertemanan selesai main pertemanan teman mabar game adakan tombol report game cheater oh lupa adakan fitur voice chat ribet ngetik,2,positive
seru pas main disconnect sinyalnya bagus ditambah kalo gua pindahberalih aplikasi yg gua room alasan disconnect saran add friend list biar gk pake kode langsung invite sekian ulasannya thx,-11,negative
knp game disconect eror daveflover tolong diperbaiki yaaaaa kalo game turun pemainnya tolong diperbaiki kenyamanan pemain nyaman usik bug tolong terimakasih,12,positive
game bagus bangett tp ngebug permainan suka ngebug pas udh join tibatiba kicked banned tolong diperbaiki kalo udh nilai bintang terima kasih,13,positive
wkwkwkwkwk mantap game semoga kedepannya update seru menantang crewmate ok aja tolong dibikin misinya menantang impostornya tambahan fitur oke aja saran terima kasih,15,positive
game bagus bangetcuma mapnya sikit coba banyakin misinya bosan coba bikin iven gitu dak natal coba bikin skin gitu sinterklas setuju pincit,2,positive
gamenya bagus bagus tambahkan mode fps greget mainnya impostor membunuh tambahkan effect berbalik bunuh apapun crewmate tambahkan effect task membuka plat kabel terimakasih,-9,negative
gamenya mah seru aja matchmakernya kadang penuh kadang disconnect jaringan kuat banget update kedepan macthmakernya aja server dicampur bikin gabisa masuk,4,positive
rekomendasi game download game sok mengalahkan game suka game updatenya tambahkan map main mode practice bisalah dummy bergerak berinteraksi tambahan aitambahkan role hacker meretas task crewmatetraitor membantu jahat role memilih membantu manatambahkan jugalah mode,7,positive
gamenya bagus kurangnya bug gk bs masuk game layar hitam overall bagus yg gtw biar bs chat bebas kaitkan akun gmail dlu ubah pengaturan seenggaknya liat youtube guide biar paham kasian ratingnya menurun,-19,negative
game bagus banget grafit jelektapi gk mentingin grafik yg gameplay yg seru seru banget kalo dimainin teman positif kalo komplen game bug emergency meeting dead body report tablet gk muncul yg game gk voice harap next update ditambakan voice thank game,12,positive
game bagus kekurangannya warna skin player ditambah orang servernya ditambah maksimal orang orang kalo mainnya ramean impostornya bagus hewan peliharaan baju tolong disediakan baju beli terimakasih developer,10,positive
seru kadang error ngga masuk room kesalahan cheaters main tibatiba udah mati gimana tolong perbaiki peminat game ngga pindah game tolong tolong,-10,negative
gamenya menarik melatih otak gua ngasih bintang kendala voice chat discord kalo emulator pc apapun kalo hpmobile bulak aplikasi discodd mute unmute error disconnect among us solusi gua fix errornya aplikasi among us sediain voice chat biar main publik ngomong toxic udh pemain publik toxic ngehancurin game,-12,negative
bug bug report crewmate menjalankan misi tekan tombol use yg report bug gk vote layar vote kayak ngebug cuman keliatan pojok kiri doang mohon perbaiki bug yak kasih,-7,negative
gue kasih bintang game pas masuk eh udah kayak gitualasan sinyal sinyal gue bagustapi pas gue udah masuk pertempuran gue impostor loading crewmate nama warnanya merah tolong perbaiki game,4,positive
gamenya bagus bug game player bug masuk server ngebuat server skin among us yg pakai tdk alias invisible polos tolong developer yg terhormat mohon dibaca komen diperbaiki secepatnya terima kasih,2,positive
orang main mengganggu bug alami permainan layar kadang hitam masuk room karakter terlihatsaat main ngelag jaringan bagus segitulah bug alami katakata salah mohon maaf bye,-21,negative
bermain among us game memiliki improvement role permainan seru sayangnya server fix developer disconnect server terpaksa server eropanorth america karna among us server asia sepi masuk lobby susah disconnect mengecewakan dev among us,-16,negative
gamenya bagus menarik saran tinggal tambahkan map cepat bosan mengaktifkan mikrofon ingame discord kalo crewmateimposter mati otomatis mikrofonnya mati dinyalakan,-4,negative
gamenya bagus wajib download idenya simpel match making mudah grafik lumayan game playnya menarik bagus permainan otak percaya teman main bingung klo bahasa indonesianya ama pemainnya mayoritas orang gua tetep enjoy comen game thanks developer end,4,positive
gamenya seru disayangkan sistem keamanan game lemah cheater auto impostor crewmate parah speednya cepat killcount main langsung kalah lucu yap disayangkan,-6,negative
maaf saran game inisebaiknya fiturfiturnya ditambah game boomingbanyak sukasudah download orangakan fiturfitur didalam game ditambah alat scanner bandaratentu teknologi canggih membunuh orangsi impostor meninggalkan bercak darahnah tugas impostor membunuh membersihkan jejak darah tadiadakanlah animasi membersihkan darah tubuhnyatangannya,-10,negative
bagus ditingkatkan performa gamenya butuh map variasi task voting jgn warna pemain abu abu perbaiki error bug butuh server indonesia basmi cheater map disesuai temanya halloween unsur tema halloween pas natal map unsur tema natalnya,-19,negative
game udah bagus cuman yg kalo yg nama voice chat gitu sm jaringan server benerin suka jaringan bagussm kalo biar player main teman mudah tolong nge add friends mudah bermain among us terimakasih,16,positive
seru cuman yg cheat nyaman main pake fitur lapor jg contohreac nyala pintu ketutup kill langsung banyakcrew ventbaru game langsung menang yg semoga perbaiki gk yg cheat bug kyk pas masuk room layar hitampas discus gk muncul cus gk gerakwarna jaringan bagusdll,10,positive
gamenya bagus sensasi didalam gamenya menyarankan dowload game biar simpel sederhana suasana didalam game ketegangan kesal senang takut saran tolong penambahan server ping jaringan bahasa negara keamanan chiter diperkuat fitur voice cheat menghindari katakata didengar,-6,negative
game sdah bagus tpi update pemain yg dlam room berkomunikasi voice chat seru kalo servernya sesuai negara pemain yg beda negara bingung meeting mudahan dikabulkan,-1,negative
tolong ama development bug masuk game main menit tau tau disconnect internet bagus bagus pas invate teman tolong diperbaiki bug klo udh bintang nyusul,-8,negative
gamenya bagus map airship jujur senang kasih bintang knp udh ngga kaya yg ganti nama loginitu terkadang loginnya nge bug gitu udh ngga free chat bug pemain salah satunya teman perbaikidiganti usahain kasih bintang,2,positive
game sebernanya pas udah bagus banget suka banget game cuman garagara update ngebosenin pas chat mohon bebasin ngomong apadan item yg shop duga oktapi among us seru ngebosenin trus kadang ngebug masuk pas liatnya server full eh full udah segitu kalo developer liat komentar terimakasidadah,14,positive
inti game ny dh bagustp ad yg tolong yg afk game hukuman baju avatar ny bayar mahal durasi game cpt selesai error gamesaya jd tdk main,1,positive
gamenya bagus banget map airshipnya chatnya dikembalikan kayak manual otomatis obrol obrolan menurutku bagus map update map game henry stickmin rocket chatnya manual map luas map airship,-2,negative
bilang jelek nih game masuk ngebug hp login menyelesaikan lho game seru asyik menambah pertemanan temenku game terima kasih innersloth pencipta among us tingkatkan bagus freze tolong perbaiki sekian,3,positive
game seru bagus ngeselinnya tuh dc disconnected sinyal bermasalah bagus lancarlancar aja buka app tolong perbaiki game peminat biar peminat keren perbaiki koneksi game biar mainnya nyaman,2,positive
game bagus banget kasih bintang bermain game butuh signal yg bagusdan crewmate tambahin fitur gitusoalnya banget yg server gara² impostor yg impostor nyaman yg crewmate langsung seru saran fitur crewmate mendeteksi impostor ngetag peserta teleport batasnya gitu aja thanks,10,positive
gamenya seruu kayak game sebelah berbulu kendalanya contohnya sinyal game ngga kadang koneksi adakan sistem report player melanggar aturan cheat coin hasil permainan profil status player kalo game menyajikan saran w w ganti bintang yuk yuk,-1,negative
min tolong koneksinya dibikin lbh stabil pas main disconnec sinyalnya bagus buka sosmed jg lancar tolong perbaiki server asia gangguan mulu servernya tolong min perbaiki ntar kasih bintang deh support developer,15,positive
tolong bug fixed bermain mengalami bug map task dikerjakantask menghilang server mengganggu impostor server memakai wifi tolong diperbaiki game player terganggu bug problem,-3,negative
gamenya bagus banget fitnah orgv dll pas update ngelag apalah pas vote emergency meetingdeath body report pas processing berhenti selesai vote kalo udh update perbaiki kasih bintang gimana kasih aja tau bilang gimanav ok sekian makasih,8,positive
game seru bug doang yg diperbaikisama dapet skin jdi mudahmakasih depelovertolong kadang room yg suka tpi nge bug karna disconnectpadahal jaringan bagus banget turun dikit aja langsung nge bug,5,positive
developer tolong diperbaiki disconnect pakai wifi sinyal bagus coba nonton youtube p lancar bermain among us ping tolong diperbaiki orang bermain game,5,positive
gg gan keren gamenya tingkatin gamenya servernya suka nge player disconnect mapnya tolong ditambah kedepannya seru kalo banget mapnya makasih,8,positive
bagus banget gamenya melatih otak kerja kurangnya terkadang bikin room join room banget disconnect server main tunggu terhambat mohon perbaiki kelancaran join room create room selebihnya,2,positive
game bagusss banget cuman kelebihannya afk alias alias disconnect alias join tuh auto keluarr wkwk kelebihan kalo find game suka full disconnect jaringan bagus rekomend banget si yg suka game kaya intel gitu cuman dibutuhkan ekstra kesabaran provider lancar ngga ngelag wkwk,15,positive
game grafinya standar gua gamenya bagus banget gua impos tegang banget ketahuan bahaya gua tunggu map airship gua udah main versi henry stickman tinggal among us map airship task barugua task hunter gau tunggu map airship mohon percepat tanggal rilisnya gua udah sabar,-24,negative
assalamualaikum game bagus menebak impostor salah satunya main langsung defeatwinner tolonglah developer fix kasih bintang fix oke wassalamualaikum,6,positive
game bagus main bareng teman main kadang ketemu cheater nggak asik gitu main ehh tautaunya impostor menang ping tembus jaringan bagusmohon developer perbaiki tingkat keamanan game ditingkatkan,10,positive
aplikasi udah baguscma aq berharap update canggihdiperbanyak misi nyastlh levelnya trs smga bsok klo update mic nyagua pingin mic drpd ngetik keburu typo mulutmbh map reapot citer trs klo udah masuk gme dilarang seenaknyatrkdng org klluar seenaknyatiba lngsng menangkan asik plis smga updtan,-6,negative
kasih bintang game seru lucu menyarankan update tan tolong kasih fitur mikrofon biar capek ngetik ok baguss game chit tolong sebisa chit otomatis biar chit tolong,13,positive
grafik bagus yg nge bug kamera tpp diam bersamaan karakter jalan gerakkan mohon diperbaiki bug musnahkan cheter yg tembus tembok kill cooldown always impostor menggangu among us semoga cheter dimusnahkan dll,-2,negative
skrg update location mudah ketiknyatapi layar hp sy nggak nampak jalannya lampu menggetahui jalan ketiknya nggak keyboard langsung semoga update kayak kemarin menggetahui jalan penerangan typing pakai keyboard maaf klo yg salah bicaranya,-3,negative
bagus fitur voice chat dimana berfungsi sesuai game game otomatis voice chtnya mati diskusi otomatis voice chatny aktif mendiskusikan yng aneh yng dibunuh voiceny langsung otomatis mati gamenya selesaitermasuk diskusi,17,positive
mantep min kembangkan fitur disconnect masuk ingame kestabilan jaringan ditingkatkan player menjadikan lag kembangkan min,0,neutral
game bagus semoga update mapnya luas playernya tambahin crewmate impostor gitu kayak werewolf perannya seru banya perannya crewmate impostor pakai fitur google play gamenya safe datanya overall bagus coba bikin biar peran menyenangkan seru main public impostor langsung gamenya star,1,positive
tolong perbaiki main dcpadahal sinyal bagus wifi kenceng gimana perbaiki game bug semenjak update tolong bug cahaya sekian terima kasih maaf kasih bintang,3,positive
upgrade ngebug jdi g kliatan visionny bermasalah tpi klo tablet normal aja hp yg gelap trus g bsa chat manual jujur suka yg upgrade mainnya bsa lancar klo kn g kliatan gtu gelap ngeganggu banget udh doang tolong benerin klo udh bener ntar tambahin bintangnyulasan yg,8,positive
nih game cheaternya pas impos ane blom kill tpi udah yg mati impos cuman ane trus pas jdi crew tau imposnya masak vote gk pas diklik emergence langsung skip gitu sampek kali mati bertiga gantian klik emergence,9,positive
game lumayan bagus multiplayer pokok keren banget developer tolong puzzle susah susah yah tolong diperbaiki yah pusing mikirin puzzle game tetep bagus ko,-11,negative
kasih bintang reconnect ping jaringan g kendala mohon diperbaiki servernya pemain kecewa problem jaringan nb saran emergency meeting discuss tambahan fitur open mic michropone utk player discuss mengetik terima kasih,-4,negative
nice gameyang servernya aja berat laggingmungkin skrg rame main sarankalo menang kasih reward gitutrus beli kostum apaagak bosenin soalnyatapi seru,4,positive
game bagus bangettapi tercampur orang negeri tolong perbaiki pandai bahasa inggris kesulitan permainan diskusi main suka aksesoris sengaja menghapus among us download perbedaan main aksesoris hilangterima kasih mohon tingkatkan,-13,negative
gamenya udah bagus tolong devoloper perbaiki bug bug kayak jalan jalan kameranya jalan tolong diperbaiki kalo cheater hacker among us karna mengganggu player server gamenya udah bagus map udah oke aja terima kasih,1,positive
seru banget si gamenya suka ngebug room suka lost connectionkeluar room ping mohon perbaiki koneksi bagus ping msms,-2,negative
mantap jiwa gamenya rating deh pas kali main langsung ketagihan yg bikin bosen cheater odading indo masuk indo semongko dll kadang bug orang warna ijo muncul ilang dilobby gamenya bagus animasi style gambarnya bagus semoga kedepannya among us,-13,negative
game sudh bagus kekurangannya gua game masuk game gua mohon perbaiki perbaiki server ngajak teman pakai private pppllliiissss perbaiki kekurangannya menggangu kenyamanan pemain,-3,negative
dirilis booming sekarangggdisini gamenya udh bagusgk udah matchmakingmungkin fitur add friends biar mabarsekalian pas udh masuk roomada pinggir tulisan add friendsdan tambahkan room khusus indonesiabahasa indonesia ditambahkanok sekiankembangkan gamenya,-3,negative
srry dev game among us error jaringan udah oke tinggal main aja pas main tuh loadingnya trus gabisa tiba² error bla² coba liat jaringan oke trus coba masuk gamenya eh gabisa pas find game pokoknya tolong diperbaiki dev bintang,-1,negative
